Hora_Anual,DNI_W_m2,H2_kg
303,775.27,0.4286
304,534.94,0.4286
305,248.06,0.4286
306,0.0,0.0
307,0.0,0.0
308,0.0,0.0
309,0.0,0.0
310,0.0,0.0
311,0.0,0.0
312,0.0,0.0
313,0.0,0.0
314,0.0,0.0
315,0.0,0.0
316,0.0,0.0
317,0.0,0.0
318,0.0,0.0
319,0.0,0.0
320,249.33,0.4286
321,535.82,0.4286
322,775.77,0.4286
323,948.34,0.4286
324,1038.54,0.4286
325,1038.54,0.4286
326,948.34,0.4286
327,775.77,0.4286
328,535.82,0.4286
329,249.33,0.4286
330,0.0,0.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,0.0
335,0.0,0.0
336,0.0,0.0
337,0.0,0.0
338,0.0,0.0
339,0.0,0.0
340,0.0,0.0
341,0.0,0.0
342,0.0,0.0
343,0.0,0.0
344,238.12,0.4286
345,509.89,0.4286
346,737.46,0.4286
347,901.1,0.4286
348,986.63,0.4286
349,986.63,0.4286
350,901.1,0.4286
351,737.46,0.4286
352,509.89,0.4286
353,238.12,0.4286
354,0.0,0.0
355,0.0,0.0
356,0.0,0.0
357,0.0,0.0
358,0.0,0.0
359,0.0,0.0
360,0.0,0.0
361,0.0,0.0
362,0.0,0.0
363,0.0,0.0
364,0.0,0.0
365,0.0,0.0
366,0.0,0.0
367,0.0,0.0
368,252.03,0.4286
369,537.67,0.4286
370,776.8,0.4286
371,948.73,0.4286
372,1038.58,0.4286
373,1038.58,0.4286
374,948.73,0.4286
375,776.8,0.4286
376,537.67,0.4286
377,252.03,0.4286
378,0.0,0.0
379,0.0,0.0
380,0.0,0.0
381,0.0,0.0
382,0.0,0.0
383,0.0,0.0
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,0.0
388,0.0,0.0
389,0.0,0.0
390,0.0,0.0
391,0.0,0.0
392,253.45,0.4286
393,538.65,0.4286
394,777.35,0.4286
395,948.94,0.4286
396,1038.61,0.4286
397,1038.61,0.4286
398,948.94,0.4286
399,777.35,0.4286
400,538.65,0.4286
401,253.45,0.4286
402,0.0,0.0
403,0.0,0.0
404,0.0,0.0
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,0.0
409,0.0,0.0
410,0.0,0.0
411,0.0,0.0
412,0.0,0.0
413,0.0,0.0
414,0.0,0.0
415,0.0,0.0
416,254.91,0.4286
417,539.66,0.4286
418,777.92,0.4286
419,949.16,0.4286
420,1038.63,0.4286
421,1038.63,0.4286
422,949.16,0.4286
423,777.92,0.4286
424,539.66,0.4286
425,254.91,0.4286
426,0.0,0.0
427,0.0,0.0
428,0.0,0.0
429,0.0,0.0
430,0.0,0.0
431,0.0,0.0
432,0.0,0.0
433,0.0,0.0
434,0.0,0.0
435,0.0,0.0
436,0.0,0.0
437,0.0,0.0
438,0.0,0.0
439,0.0,0.0
440,256.43,0.4286
441,540.7,0.4286
442,778.5,0.4286
443,949.38,0.4286
444,1038.66,0.4286
445,1038.66,0.4286
446,949.38,0.4286
447,778.5,0.4286
448,540.7,0.4286
449,256.43,0.4286
450,0.0,0.0
451,0.0,0.0
452,0.0,0.0
453,0.0,0.0
454,0.0,0.0
455,0.0,0.0
456,0.0,0.0
457,0.0,0.0
458,0.0,0.0
459,0.0,0.0
460,0.0,0.0
461,0.0,0.0
462,0.0,0.0
463,0.0,0.0
464,257.99,0.4286
465,541.77,0.4286
466,779.1,0.4286
467,949.61,0.4286
468,1038.68,0.4286
469,1038.68,0.4286
470,949.61,0.4286
471,779.1,0.4286
472,541.77,0.4286
473,257.99,0.4286
474,0.0,0.0
475,0.0,0.0
476,0.0,0.0
